Variable,Overall (n = 8782),Survival group (n = 6805),Mortality group (n = 1977),p value
Magnesium min (mg/dL),"1.90 (1.70, 2.10)","1.90 (1.70, 2.10)","1.90 (1.70, 2.20)",< 0.001*
Magnesium max (mg/dL),"2.10 (1.90, 2.40)","2.10 (1.90, 2.30)","2.10 (1.90, 2.40)",< 0.001*
Magnesium mean (mg/dL),"2.00 (1.80, 2.20)","2.00 (1.80, 2.20)","2.03 (1.85, 2.25)",< 0.001*
Chloride min (mg/dL),"102.00 (98.00, 106.00)","103.00 (99.00, 106.00)","101.00 (96.00, 105.00)",< 0.001*
Chloride max (mg/dL),"104.00 (100.00, 108.00)","104.00 (101.00, 108.00)","103.00 (98.00, 108.00)",< 0.001*
Chloride mean (mg/dL),"103.50 (99.40, 107.00)","103.67 (100.00, 107.00)","102.00 (97.33, 106.10)",< 0.001*
Hemoglobin min (mg/dL),"9.60 (8.20, 11.30)","9.70 (8.30, 11.40)","9.10 (7.80, 10.70)",< 0.001*
Hemoglobin max (mg/dL),"10.40 (9.00, 11.90)","10.50 (9.10, 12.00)","9.80 (8.60, 11.30)",< 0.001*
Hemoglobin mean (mg/dL),"9.97 (8.60, 11.55)","10.10 (8.70, 11.70)","9.40 (8.20, 10.95)",< 0.001*
WBC min (mg/dL),"9.30 (6.50, 13.20)","9.10 (6.40, 12.80)","10.60 (6.90, 15.80)",< 0.001*
WBC max (mg/dL),"11.00 (7.50, 15.90)","10.80 (7.40, 15.30)","12.60 (8.30, 18.70)",< 0.001*
WBC mean (mg/dL),"10.23 (7.10, 14.45)","10.00 (7.03, 14.00)","11.70 (7.70, 17.34)",< 0.001*
Platelet min (mg/dL),"179.00 (121.00, 250.00)","181.00 (125.00, 248.00)","167.00 (97.00, 255.00)",< 0.001*
Platelet max (mg/dL),"197.00 (141.00, 269.00)","198.00 (144.00, 267.00)","189.00 (115.00, 280.00)",< 0.001*
Platelet mean (mg/dL),"188.00 (132.00, 259.00)","189.00 (136.00, 257.50)","177.00 (105.50, 266.50)",< 0.001*
Urine output (mL/24 h),"1495.00 (865.00, 2365.00)","1600.00 (970.00, 2480.00)","950.00 (450.00, 1633.50)",< 0.001*
Myocardial infarction,4340 (16.3%),3494 (15.8%),846 (18.5%),< 0.001*
Congestive heart failure,9106 (34.1%),7388 (33.4%),1718 (37.6%),< 0.001*
Peripheral vascular disease,4048 (15.2%),3365 (15.2%),683 (14.9%),0.665
Cerebrovascular disease,4178 (15.7%),3363 (15.2%),815 (17.8%),< 0.001*
Dementia,1354 (5.1%),993 (4.5%),361 (7.9%),< 0.001*
Chronic pulmonary disease,7368 (27.6%),6079 (27.5%),1289 (28.2%),0.326
Rheumatic disease,1144 (4.3%),965 (4.4%),179 (3.9%),0.189
Peptic ulcer disease,782 (2.9%),654 (3.0%),128 (2.8%),0.604
Mild liver disease,3825 (14.3%),3112 (14.1%),713 (15.6%),< 0.01*
Diabetes without cc,6863 (25.7%),5764 (26.1%),1099 (24.1%),< 0.01*
Paraplegia,1367 (5.1%),1063 (4.8%),304 (6.7%),< 0.001*
Renal disease,9840 (36.9%),8046 (36.4%),1794 (39.3%),< 0.001*
Malignant cancer,10885 (40.8%),8281 (37.4%),2604 (57.0%),< 0.001*
Severe liver disease,1451 (5.4%),1048 (4.7%),403 (8.8%),< 0.001*
Metastatic solid tumor,5341 (20.0%),3586 (16.2%),1755 (38.4%),< 0.001*
AIDS,545 (2.0%),479 (2.2%),66 (1.4%),< 0.01*
Charlson Comorbidity Index,"5.00 (3.00, 8.00)","4.00 (2.00, 7.00)","7.00 (4.00, 9.00)",< 0.001*
Mechanical ventilation,6621 (24.8%),5243 (23.7%),1378 (30.2%),< 0.001*
GCS score,"3.00 (2.00, 4.00)","4.00 (2.00, 4.00)","3.00 (1.00, 4.00)",< 0.001*
SOFA score,"2.00 (1.00, 3.00)","2.00 (1.00, 3.00)","2.00 (1.00, 4.00)",< 0.001*
